Part,Type,Value,Package,MF,MPN,OC_MOUSER
C1,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
C2,Capacitor,2.2uF / 25 VDC / X7R,0803,Taiyo Yuden,TMK212B7225KG-TR,963-TMK212B7225KG-TR
C3,Capacitor,2.2uF / 25 VDC / X7R,0803,Taiyo Yuden,TMK212B7225KG-TR,963-TMK212B7225KG-TR
C4,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
C5,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
C6,Capacitor,2.2uF / 25 VDC / X7R,0803,Taiyo Yuden,TMK212B7225KG-TR,963-TMK212B7225KG-TR
C7,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
C8,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
C9,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
C10,Capacitor,22pF / 50VDC / C0G (NP0),0603,Vishay / Vitramon,VJ0603A220JXACW1BC,77-VJ0603A220JXACBC
C11,Capacitor,22pF / 50VDC / C0G (NP0),0603,Vishay / Vitramon,VJ0603A220JXACW1BC,77-VJ0603A220JXACBC
C12,Capacitor,0.1uF / 16VDC /  X7R,0603,Wurth Electronics,885012206046,710-885012206046
G1,Crystal,16MHz / 18pF / 10ppm,HC49US,ABRACON,ABL-16.000MHz-B1U,815-ABL-16-B1U
G2,Crystal,32.768kHz / 12.5pF / 10ppm,TC26H,Citizen FineDevice,CFS206-32.768KEZB-U,695-CFS206-327KEZB-U
K1,Microcontroller,MK20DX256VLH7,LQFP 64,NXP,MK20DX256VLH7,841-MK20DX256VLH7
K2,Microcontroller,MKL04Z32VLC4 (preprogrammed),LQFP 32,PJRC,IC_MKL04Z32_TQFP32,-------
P1,LED,orange,0803,ROHM Semiconductor,SML-211DTT86,755-SML-211DTT86
R1,PPTC,6V / 0.5A,0803,Bel Fuse,0ZCK0050FF2E,530-0ZCK0050FF2E
R2,Ferrite,600R / 100MHz,0803,Taiyo Yuden,BK2125HM601-T,963-BK2125HM601-T
R3,Resistor,470R / 1 % /  0.1 W,0603,Vishay,CRCW0603470RFKEA,71-CRCW0603-470-E3
R4,Ferrite,600R / 100MHz,0803,Taiyo Yuden,BK2125HM601-T,963-BK2125HM601-T
R5,Resistor,33R / 1% / 0.25 W,0603,Panasonic,ERJ-PA3F33R0V,667-ERJ-PA3F33R0V
R6,Resistor,33R / 1% / 0.25 W,0603,Panasonic,ERJ-PA3F33R0V,667-ERJ-PA3F33R0V
R7,Diode,"Dual Schottky, common cat",SOT-23,NXP Semiconductors,"BAT54C,215",771-BAT54C-T/R
R8,Resistor,470R / 1% /  0.1 W,0603,Vishay,CRCW0603470RFKEA,71-CRCW0603-470-E3
S1,Tactile switch,SPST,6x6x5 mm,ALPS,SKHHPKA010,688-SKHHPK
T1,Voltage Regulator,3.3V 500mA,SOT-223-3,Microchip Technology,MCP1825S-3302E/DB,579-MCP1825S-3302EDB
X1,Mini USB,MINI-USB,,Hirose,UX60-MB-5ST,798-UX60-MB-5ST
